30,I,UXIA769ABCC447906,Toyota,Camry,2017,2016-05-08,Initial sales from Carmax
31,R,UXIA769ABCC447906,,,,2020-01-02,Initial sales from Carmax
32,A,INU45KIOOPA343980,,,,2020-05-01,Side collision
33,I,VXIO456XLBB630221,Nissan,Altima,2003,2002-05-08,Initial sales from TechMotors
34,I,INU45KIOOPA343980,Mercedes,C300,2015,2014-01-01,Sold from EuroMotors
35,A,VXIO456XLBB630221,,,,2014-07-02,Head-on collision
36,R,VXIO456XLBB630221,,,,2014-08-05,Repair transmission
37,I,VOME254OOXW344325,Mercedes,E350,2015,2014-02-01,Sold from Carmax
38,R,VOME254OOXW344325,,,,2015-02-06,Wheel alignment service
39,R,VXIO456XLBB630221,,,,2015-01-01,Replace right headlight
40,I,EXOA00341AB123456,Mercedes,SL550,2016,2015-01-01,Sold from AceCars
41,A,VOME254OOXW344325,,,,2015-10-01,Side collision
42,R,VOME254OOXW344325,,,,2015-09-01,Changed tires
43,R,EXOA00341AB123456,,,,2015-05-01,Repair engine
44,A,EXOA00341AB123456,,,,2015-05-03,Vehicle rollover
45,R,VOME254OOXW344325,,,,2015-09-01,Replace passenger side door
46,I,UXIA769ABCC447906,Toyota,Camry,2017,2016-05-08,Initial sales from Carmax
47,R,UXIA769ABCC447906,,,,2020-01-02,Initial sales from Carmax
48,A,INU45KIOOPA343980,,,,2020-05-01,Side collision
49,I,VXIO456XLBB630221,Nissan,Altima,2003,2002-05-08,Initial sales from TechMotors
50,I,INU45KIOOPA343980,Mercedes,C300,2015,2014-01-01,Sold from EuroMotors
51,A,VXIO456XLBB630221,,,,2014-07-02,Head-on collision
52,R,VXIO456XLBB630221,,,,2014-08-05,Repair transmission
53,I,VOME254OOXW344325,Mercedes,E350,2015,2014-02-01,Sold from Carmax
54,R,VOME254OOXW344325,,,,2015-02-06,Wheel alignment service
55,R,VXIO456XLBB630221,,,,2015-01-01,Replace right headlight
56,I,EXOA00341AB123456,Mercedes,SL550,2016,2015-01-01,Sold from AceCars
57,A,VOME254OOXW344325,,,,2015-10-01,Side collision
58,R,VOME254OOXW344325,,,,2015-09-01,Changed tires
59,R,EXOA00341AB123456,,,,2015-05-01,Repair engine
60,A,EXOA00341AB123456,,,,2015-05-03,Vehicle rollover
61,R,VOME254OOXW344325,,,,2015-09-01,Replace passenger side door
62,I,UXIA769ABCC447906,Toyota,Camry,2017,2016-05-08,Initial sales from Carmax
63,R,UXIA769ABCC447906,,,,2020-01-02,Initial sales from Carmax
64,A,INU45KIOOPA343980,,,,2020-05-01,Side collision
65,I,VXIO456XLBB630221,Nissan,Altima,2003,2002-05-08,Initial sales from TechMotors
66,I,INU45KIOOPA343980,Mercedes,C300,2015,2014-01-01,Sold from EuroMotors
67,A,VXIO456XLBB630221,,,,2014-07-02,Head-on collision
68,R,VXIO456XLBB630221,,,,2014-08-05,Repair transmission
69,I,VOME254OOXW344325,Mercedes,E350,2015,2014-02-01,Sold from Carmax
70,R,VOME254OOXW344325,,,,2015-02-06,Wheel alignment service
71,R,VXIO456XLBB630221,,,,2015-01-01,Replace right headlight
72,I,EXOA00341AB123456,Mercedes,SL550,2016,2015-01-01,Sold from AceCars
73,A,VOME254OOXW344325,,,,2015-10-01,Side collision
74,R,VOME254OOXW344325,,,,2015-09-01,Changed tires
75,R,EXOA00341AB123456,,,,2015-05-01,Repair engine
76,A,EXOA00341AB123456,,,,2015-05-03,Vehicle rollover
77,R,VOME254OOXW344325,,,,2015-09-01,Replace passenger side door
78,I,UXIA769ABCC447906,Toyota,Camry,2017,2016-05-08,Initial sales from Carmax
79,R,UXIA769ABCC447906,,,,2020-01-02,Initial sales from Carmax
80,A,INU45KIOOPA343980,,,,2020-05-01,Side collision
81,I,VXIO456XLBB630221,Nissan,Altima,2003,2002-05-08,Initial sales from TechMotors
82,I,INU45KIOOPA343980,Mercedes,C300,2015,2014-01-01,Sold from EuroMotors
83,A,VXIO456XLBB630221,,,,2014-07-02,Head-on collision
84,R,VXIO456XLBB630221,,,,2014-08-05,Repair transmission
85,I,VOME254OOXW344325,Mercedes,E350,2015,2014-02-01,Sold from Carmax
86,R,VOME254OOXW344325,,,,2015-02-06,Wheel alignment service
87,R,VXIO456XLBB630221,,,,2015-01-01,Replace right headlight
88,I,EXOA00341AB123456,Mercedes,SL550,2016,2015-01-01,Sold from AceCars
89,A,VOME254OOXW344325,,,,2015-10-01,Side collision
90,R,VOME254OOXW344325,,,,2015-09-01,Changed tires
91,R,EXOA00341AB123456,,,,2015-05-01,Repair engine
92,A,EXOA00341AB123456,,,,2015-05-03,Vehicle rollover
93,R,VOME254OOXW344325,,,,2015-09-01,Replace passenger side door
94,I,UXIA769ABCC447906,Toyota,Camry,2017,2016-05-08,Initial sales from Carmax
95,R,UXIA769ABCC447906,,,,2020-01-02,Initial sales from Carmax
96,A,INU45KIOOPA343980,,,,2020-05-01,Side collision
97,I,VXIO456XLBB630221,Nissan,Altima,2003,2002-05-08,Initial sales from TechMotors
98,I,INU45KIOOPA343980,Mercedes,C300,2015,2014-01-01,Sold from EuroMotors
99,A,VXIO456XLBB630221,,,,2014-07-02,Head-on collision
100,R,VXIO456XLBB630221,,,,2014-08-05,Repair transmission
101,I,VOME254OOXW344325,Mercedes,E350,2015,2014-02-01,Sold from Carmax
102,R,VOME254OOXW344325,,,,2015-02-06,Wheel alignment service
103,R,VXIO456XLBB630221,,,,2015-01-01,Replace right headlight
104,I,EXOA00341AB123456,Mercedes,SL550,2016,2015-01-01,Sold from AceCars
105,A,VOME254OOXW344325,,,,2015-10-01,Side collision
106,R,VOME254OOXW344325,,,,2015-09-01,Changed tires
107,R,EXOA00341AB123456,,,,2015-05-01,Repair engine
108,A,EXOA00341AB123456,,,,2015-05-03,Vehicle rollover
109,R,VOME254OOXW344325,,,,2015-09-01,Replace passenger side door
110,I,UXIA769ABCC447906,Toyota,Camry,2017,2016-05-08,Initial sales from Carmax
111,R,UXIA769ABCC447906,,,,2020-01-02,Initial sales from Carmax
112,A,INU45KIOOPA343980,,,,2020-05-01,Side collision
113,I,VXIO456XLBB630221,Nissan,Altima,2003,2002-05-08,Initial sales from TechMotors
114,I,INU45KIOOPA343980,Mercedes,C300,2015,2014-01-01,Sold from EuroMotors
115,A,VXIO456XLBB630221,,,,2014-07-02,Head-on collision
116,R,VXIO456XLBB630221,,,,2014-08-05,Repair transmission
117,I,VOME254OOXW344325,Mercedes,E350,2015,2014-02-01,Sold from Carmax
118,R,VOME254OOXW344325,,,,2015-02-06,Wheel alignment service
119,R,VXIO456XLBB630221,,,,2015-01-01,Replace right headlight
120,I,EXOA00341AB123456,Mercedes,SL550,2016,2015-01-01,Sold from AceCars
121,A,VOME254OOXW344325,,,,2015-10-01,Side collision
122,R,VOME254OOXW344325,,,,2015-09-01,Changed tires
123,R,EXOA00341AB123456,,,,2015-05-01,Repair engine
124,A,EXOA00341AB123456,,,,2015-05-03,Vehicle rollover
125,R,VOME254OOXW344325,,,,2015-09-01,Replace passenger side door
126,I,UXIA769ABCC447906,Toyota,Camry,2017,2016-05-08,Initial sales from Carmax
127,R,UXIA769ABCC447906,,,,2020-01-02,Initial sales from Carmax
128,A,INU45KIOOPA343980,,,,2020-05-01,Side collision
129,I,VXIO456XLBB630221,Nissan,Altima,2003,2002-05-08,Initial sales from TechMotors
130,I,INU45KIOOPA343980,Mercedes,C300,2015,2014-01-01,Sold from EuroMotors
131,A,VXIO456XLBB630221,,,,2014-07-02,Head-on collision
132,R,VXIO456XLBB630221,,,,2014-08-05,Repair transmission
133,I,VOME254OOXW344325,Mercedes,E350,2015,2014-02-01,Sold from Carmax
134,R,VOME254OOXW344325,,,,2015-02-06,Wheel alignment service
135,R,VXIO456XLBB630221,,,,2015-01-01,Replace right headlight
136,I,EXOA00341AB123456,Mercedes,SL550,2016,2015-01-01,Sold from AceCars
137,A,EXOA00341AB123456,,,,2016-06-15,Minor fender bender
138,R,VOME254OOXW344325,,,,2016-07-02,Replace rearview mirror
139,I,UXIA769ABCC447906,BMW,328i,2018,2017-03-10,Initial sales from LuxuryCars
140,A,INU45KIOOPA343980,,,,2018-08-22,Rear-end collision
141,R,INU45KIOOPA343980,,,,2018-09-05,Repair rear bumper
142,I,VXIO456XLBB630221,Toyota,Corolla,2019,2018-02-14,Initial sales from AutoZoneCars
143,R,VXIO456XLBB630221,,,,2019-03-01,Replace brake pads
144,A,VOME254OOXW344325,,,,2019-11-12,Front-end collision
145,R,VOME254OOXW344325,,,,2019-12-03,Repair radiator
146,I,EXOA00341AB123456,Lexus,IS300,2020,2019-06-20,Initial sales from LexusDealership
147,A,VOME254OOXW344325,,,,2020-10-05,Side swipe accident
148,R,VOME254OOXW344325,,,,2020-11-01,Repair side panels
149,I,UXIA769ABCC447906,Audi,A4,2021,2020-04-18,Initial sales from AudiShowroom
150,R,UXIA769ABCC447906,,,,2021-05-01,Replace windshield
151,A,INU45KIOOPA343980,,,,2021-09-15,Hit and run incident
152,R,INU45KIOOPA343980,,,,2021-10-01,Repair front grille
153,I,VXIO456XLBB630221,Honda,Accord,2022,2021-02-08,Initial sales from HondaSuperstore
154,A,VXIO456XLBB630221,,,,2022-07-22,T-bone collision
155,R,VXIO456XLBB630221,,,,2022-08-05,Repair suspension
156,I,VOME254OOXW344325,Mercedes,GLC300,2022,2021-01-15,Initial sales from LuxuryAuto
157,R,VOME254OOXW344325,,,,2022-02-01,Replace catalytic converter
158,A,EXOA00341AB123456,,,,2022-10-10,Rear collision
159,R,EXOA00341AB123456,,,,2022-11-03,Repair rear bumper
160,I,UXIA769ABCC447906,BMW,X5,2023,2022-03-12,Initial sales from UltimateCars
161,A,INU45KIOOPA343980,,,,2023-05-20,Side collision
162,R,INU45KIOOPA343980,,,,2023-06-01,Repair side door
163,I,VXIO456XLBB630221,Toyota,Rav4,2023,2022-09-08,Initial sales from ToyotaDealership
164,R,VXIO456XLBB630221,,,,2023-10-01,Replace battery
165,A,VOME254OOXW344325,,,,2023-11-15,Minor rear-end collision
166,R,VOME254OOXW344325,,,,2023-12-01,Repair exhaust system
167,I,EXOA00341AB123456,Lexus,RX350,2024,2023-04-25,Initial sales from LexusShowroom
168,A,EXOA00341AB123456,,,,2024-08-18,Front collision
169,R,EXOA00341AB123456,,,,2024-09-01,Repair front bumper
170,I,UXIA769ABCC447906,Audi,Q5,2024,2023-12-10,Initial sales from AudiDealership
171,R,UXIA769ABCC447906,,,,2024-12-01,Replace power steering pump
172,A,INU45KIOOPA343980,,,,2025-03-05,Rear bumper damage
173,R,INU45KIOOPA343980,,,,2025-04-01,Repair rear bumper
174,I,VXIO456XLBB630221,Nissan,Maxima,2025,2024-05-08,Initial sales from NissanSuperstore
175,R,VXIO456XLBB630221,,,,2025-06-01,Replace alternator
176,A,VOME254OOXW344325,,,,2025-11-12,Side swipe incident
177,R,VOME254OOXW344325,,,,2025-12-03,Repair side panels
178,I,EXOA00341AB123456,Lexus,GS350,2026,2025-06-20,Initial sales from LexusDealership
179,A,VOME254OOXW344325,,,,2026-10-05,Side collision
180,R,VOME254OOXW344325,,,,2026-11-01,Repair side door
181,I,UXIA769ABCC447906,BMW,330i,2027,2026-04-18,Initial sales from UltimateCars
182,R,UXIA769ABCC447906,,,,2027-05-01,Replace windshield
183,A,INU45KIOOPA343980,,,,2027-09-15,Hit and run incident
184,R,INU45KIOOPA343980,,,,2027-10-01,Repair front grille
185,I,VXIO456XLBB630221,Honda,Civic,2028,2027-02-08,Initial sales from HondaSuperstore
186,A,VXIO456XLBB630221,,,,2028-07-22,T-bone collision
187,R,VXIO456XLBB630221,,,,2028-08-05,Repair suspension
188,I,VOME254OOXW344325,Mercedes,GLC300,2028,2027-01-15,Initial sales from LuxuryAuto
189,R,VOME254OOXW344325,,,,2028-02-01,Replace catalytic converter
190,A,EXOA00341AB123456,,,,2028-10-10,Rear collision
191,R,EXOA00341AB123456,,,,2028-11-03,Repair rear bumper
192,I,UXIA769ABCC447906,BMW,X5,2029,2028-03-12,Initial sales from UltimateCars
193,A,INU45KIOOPA343980,,,,2029-05-20,Side collision
194,R,INU45KIOOPA343980,,,,2029-06-01,Repair side door
195,I,VXIO456XLBB630221,Toyota,Rav4,2029,2028-09-08,Initial sales from ToyotaDealership
196,R,VXIO456XLBB630221,,,,2029-10-01,Replace battery
197,A,VOME254OOXW344325,,,,2029-11-15,Minor rear-end collision
198,R,VOME254OOXW344325,,,,2029-12-01,Repair exhaust system
199,I,EXOA00341AB123456,Lexus,RX350,2030,2029-04-25,Initial sales from LexusShowroom
200,A,EXOA00341AB123456,,,,2030-08-18,Front collision
201,R,EXOA00341AB123456,,,,2030-09-01,Repair front bumper
202,I,UXIA769ABCC447906,Audi,Q5,2030,2029-12-10,Initial sales from AudiDealership
203,R,UXIA769ABCC447906,,,,2030-12-01,Replace power steering pump
204,A,INU45KIOOPA343980,,,,2031-03-05,Rear bumper damage
205,R,INU45KIOOPA343980,,,,2031-04-01,Repair rear bumper
206,I,VXIO456XLBB630221,Nissan,Maxima,2031,2030-05-08,Initial sales from NissanSuperstore
207,R,VXIO456XLBB630221,,,,2031-06-01,Replace alternator
208,A,VOME254OOXW344325,,,,2031-11-12,Side swipe incident
209,R,VOME254OOXW344325,,,,2031-12-03,Repair side panels
210,I,EXOA00341AB123456,Lexus,GS350,2032,2031-06-20,Initial sales from LexusDealership
211,A,VOME254OOXW344325,,,,2032-10-05,Side collision
212,R,VOME254OOXW344325,,,,2032-11-01,Repair side door
213,I,UXIA769ABCC447906,BMW,330i,2033,2032-04-18,Initial sales from UltimateCars
214,R,UXIA769ABCC447906,,,,2033-05-01,Replace windshield
215,A,INU45KIOOPA343980,,,,2033-09-15,Hit and run incident
216,R,INU45KIOOPA343980,,,,2033-10-01,Repair front grille
217,I,VXIO456XLBB630221,Honda,Civic,2034,2033-02-08,Initial sales from HondaSuperstore
218,A,VXIO456XLBB630221,,,,2034-07-22,T-bone collision
219,R,VXIO456XLBB630221,,,,2034-08-05,Repair suspension
220,I,VOME254OOXW344325,Mercedes,GLC300,2034,2033-01-15,Initial sales from LuxuryAuto
221,R,VOME254OOXW344325,,,,2034-02-01,Replace catalytic converter
222,A,EXOA00341AB123456,,,,2034-10-10,Rear collision
223,R,EXOA00341AB123456,,,,2034-11-03,Repair rear bumper
224,I,UXIA769ABCC447906,BMW,X5,2035,2034-03-12,Initial sales from UltimateCars
225,A,INU45KIOOPA343980,,,,2035-05-20,Side collision
226,R,INU45KIOOPA343980,,,,2035-06-01,Repair side door
227,I,VXIO456XLBB630221,Toyota,Rav4,2035,2034-09-08,Initial sales from ToyotaDealership
228,R,VXIO456XLBB630221,,,,2035-10-01,Replace battery
229,A,VOME254OOXW344325,,,,2035-11-15,Minor rear-end collision
230,R,VOME254OOXW344325,,,,2035-12-01,Repair exhaust system
231,I,EXOA00341AB123456,Lexus,RX350,2036,2035-04-25,Initial sales from LexusShowroom
232,A,EXOA00341AB123456,,,,2036-08-18,Front collision
233,R,EXOA00341AB123456,,,,2036-09-01,Repair front bumper
234,I,UXIA769ABCC447906,Audi,Q5,2036,2035-12-10,Initial sales from AudiDealership
235,R,UXIA769ABCC447906,,,,2036-12-01,Replace power steering pump
236,A,INU45KIOOPA343980,,,,2037-03-05,Rear bumper damage
237,R,INU45KIOOPA343980,,,,2037-04-01,Repair rear bumper
238,I,VXIO456XLBB630221,Nissan,Maxima,2037,2036-05-08,Initial sales from NissanSuperstore
239,R,VXIO456XLBB630221,,,,2037-06-01,Replace alternator
240,A,VOME254OOXW344325,,,,2037-11-12,Side swipe incident
241,R,VOME254OOXW344325,,,,2037-12-03,Repair side panels
242,I,EXOA00341AB123456,Lexus,GS350,2038,2037-06-20,Initial sales from LexusDealership
243,A,VOME254OOXW344325,,,,2038-10-05,Side collision
244,R,VOME254OOXW344325,,,,2038-11-01,Repair side door
245,I,UXIA769ABCC447906,BMW,330i,2039,2038-04-18,Initial sales from UltimateCars
246,R,UXIA769ABCC447906,,,,2039-05-01,Replace windshield
247,A,INU45KIOOPA343980,,,,2039-09-15,Hit and run incident
248,R,INU45KIOOPA343980,,,,2039-10-01,Repair front grille
249,I,VXIO456XLBB630221,Honda,Civic,2040,2039-02-08,Initial sales from HondaSuperstore
250,A,VXIO456XLBB630221,,,,2040-07-22,T-bone collision
251,R,VXIO456XLBB630221,,,,2040-08-05,Repair suspension
252,I,VOME254OOXW344325,Mercedes,GLC300,2040,2039-01-15,Initial sales from LuxuryAuto
253,R,VOME254OOXW344325,,,,2040-02-01,Replace catalytic converter
254,A,EXOA00341AB123456,,,,2040-10-10,Rear collision
255,R,EXOA00341AB123456,,,,2040-11-03,Repair rear bumper
256,I,UXIA769ABCC447906,BMW,X5,2041,2040-03-12,Initial sales from UltimateCars
257,A,INU45KIOOPA343980,,,,2041-05-20,Side collision
258,I,VOME254OOXW344325,Mercedes,GLC300,2022,2021-01-15,Initial sales from LuxuryAuto
259,R,VOME254OOXW344325,,,,2022-02-01,Replace catalytic converter
260,A,EXOA00341AB123456,,,,2022-10-10,Rear collision
261,R,EXOA00341AB123456,,,,2022-11-03,Repair rear bumper
262,I,UXIA769ABCC447906,BMW,X5,2023,2022-03-12,Initial sales from UltimateCars
263,A,INU45KIOOPA343980,,,,2023-05-20,Side collision
264,R,INU45KIOOPA343980,,,,2023-06-01,Repair side door
265,I,VXIO456XLBB630221,Toyota,Rav4,2023,2022-09-08,Initial sales from ToyotaDealership
266,R,VXIO456XLBB630221,,,,2023-10-01,Replace battery
267,A,VOME254OOXW344325,,,,2023-11-15,Minor rear-end collision
268,R,VOME254OOXW344325,,,,2023-12-01,Repair exhaust system
269,I,EXOA00341AB123456,Lexus,RX350,2024,2023-04-25,Initial sales from LexusShowroom
270,A,EXOA00341AB123456,,,,2024-08-18,Front collision
271,R,EXOA00341AB123456,,,,2024-09-01,Repair front bumper
272,I,UXIA769ABCC447906,Audi,Q5,2024,2023-12-10,Initial sales from AudiDealership
273,R,UXIA769ABCC447906,,,,2024-12-01,Replace power steering pump
274,A,INU45KIOOPA343980,,,,2025-03-05,Rear bumper damage
275,R,INU45KIOOPA343980,,,,2025-04-01,Repair rear bumper
276,I,VXIO456XLBB630221,Nissan,Maxima,2025,2024-05-08,Initial sales from NissanSuperstore
277,R,VXIO456XLBB630221,,,,2025-06-01,Replace alternator
278,A,VOME254OOXW344325,,,,2025-11-12,Side swipe incident
279,R,VOME254OOXW344325,,,,2025-12-03,Repair side panels
280,I,EXOA00341AB123456,Lexus,GS350,2026,2025-06-20,Initial sales from LexusDealership
281,A,VOME254OOXW344325,,,,2026-10-05,Side collision
282,R,VOME254OOXW344325,,,,2026-11-01,Repair side door
283,I,UXIA769ABCC447906,BMW,330i,2027,2026-04-18,Initial sales from UltimateCars
284,R,UXIA769ABCC447906,,,,2027-05-01,Replace windshield
285,A,INU45KIOOPA343980,,,,2027-09-15,Hit and run incident
286,R,INU45KIOOPA343980,,,,2027-10-01,Repair front grille
287,I,VXIO456XLBB630221,Honda,Civic,2028,2027-02-08,Initial sales from HondaSuperstore
288,A,VXIO456XLBB630221,,,,2028-07-22,T-bone collision
289,R,VXIO456XLBB630221,,,,2028-08-05,Repair suspension
290,I,VOME254OOXW344325,Mercedes,GLC300,2028,2027-01-15,Initial sales from LuxuryAuto
291,R,VOME254OOXW344325,,,,2028-02-01,Replace catalytic converter
292,A,EXOA00341AB123456,,,,2028-10-10,Rear collision
293,R,EXOA00341AB123456,,,,2028-11-03,Repair rear bumper
294,I,UXIA769ABCC447906,BMW,X5,2029,2028-03-12,Initial sales from UltimateCars
295,A,INU45KIOOPA343980,,,,2029-05-20,Side collision
296,R,INU45KIOOPA343980,,,,2029-06-01,Repair side door
297,I,VXIO456XLBB630221,Toyota,Rav4,2029,2028-09-08,Initial sales from ToyotaDealership
298,R,VXIO456XLBB630221,,,,2029-10-01,Replace battery
299,A,VOME254OOXW344325,,,,2029-11-15,Minor rear-end collision
300,R,VOME254OOXW344325,,,,2029-12-01,Repair exhaust system
301,I,EXOA00341AB123456,Lexus,RX350,2030,2029-04-25,Initial sales from LexusShowroom
302,A,EXOA00341AB123456,,,,2030-08-18,Front collision
303,R,EXOA00341AB123456,,,,2030-09-01,Repair front bumper
304,I,UXIA769ABCC447906,Audi,Q5,2030,2029-12-10,Initial sales from AudiDealership
305,R,UXIA769ABCC447906,,,,2030-12-01,Replace power steering pump
306,A,INU45KIOOPA343980,,,,2031-03-05,Rear bumper damage
307,R,INU45KIOOPA343980,,,,2031-04-01,Repair rear bumper
308,I,VXIO456XLBB630221,Nissan,Maxima,2031,2030-05-08,Initial sales from NissanSuperstore
309,R,VXIO456XLBB630221,,,,2031-06-01,Replace alternator
310,A,VOME254OOXW344325,,,,2031-11-12,Side swipe incident
311,R,VOME254OOXW344325,,,,2031-12-03,Repair side panels
312,I,EXOA00341AB123456,Lexus,GS350,2032,2031-06-20,Initial sales from LexusDealership
313,A,VOME254OOXW344325,,,,2032-10-05,Side collision
314,R,VOME254OOXW344325,,,,2032-11-01,Repair side door
315,I,UXIA769ABCC447906,BMW,330i,2033,2032-04-18,Initial sales from UltimateCars
316,R,UXIA769ABCC447906,,,,2033-05-01,Replace windshield
317,A,INU45KIOOPA343980,,,,2033-09-15,Hit and run incident
318,R,INU45KIOOPA343980,,,,2033-10-01,Repair front grille
319,I,VXIO456XLBB630221,Honda,Civic,2034,2033-02-08,Initial sales from HondaSuperstore
320,A,VXIO456XLBB630221,,,,2034-07-22,T-bone collision
321,R,VXIO456XLBB630221,,,,2034-08-05,Repair suspension
322,I,VOME254OOXW344325,Mercedes,GLC300,2034,2033-01-15,Initial sales from LuxuryAuto
323,R,VOME254OOXW344325,,,,2034-02-01,Replace catalytic converter
324,A,EXOA00341AB123456,,,,2034-10-10,Rear collision
325,R,EXOA00341AB123456,,,,2034-11-03,Repair rear bumper
326,I,UXIA769ABCC447906,BMW,X5,2035,2034-03-12,Initial sales from UltimateCars
327,A,INU45KIOOPA343980,,,,2035-05-20,Side collision
328,R,INU45KIOOPA343980,,,,2035-06-01,Repair side door
329,I,VXIO456XLBB630221,Toyota,Rav4,2035,2034-09-08,Initial sales from ToyotaDealership
330,R,VXIO456XLBB630221,,,,2035-10-01,Replace battery
331,A,VOME254OOXW344325,,,,2035-11-15,Minor rear-end collision
332,R,VOME254OOXW344325,,,,2035-12-01,Repair exhaust system
333,I,EXOA00341AB123456,Lexus,RX350,2036,2035-04-25,Initial sales from LexusShowroom
334,A,EXOA00341AB123456,,,,2036-08-18,Front collision
335,R,EXOA00341AB123456,,,,2036-09-01,Repair front bumper
336,I,UXIA769ABCC447906,Audi,Q5,2036,2035-12-10,Initial sales from AudiDealership
337,R,UXIA769ABCC447906,,,,2036-12-01,Replace power steering pump
338,A,INU45KIOOPA343980,,,,2037-03-05,Rear bumper damage
339,R,INU45KIOOPA343980,,,,2037-04-01,Repair rear bumper
340,I,VXIO456XLBB630221,Nissan,Maxima,2037,2036-05-08,Initial sales from NissanSuperstore
341,R,VXIO456XLBB630221,,,,2037-06-01,Replace alternator
342,A,VOME254OOXW344325,,,,2037-11-12,Side swipe incident
343,R,VOME254OOXW344325,,,,2037-12-03,Repair side panels
344,I,EXOA00341AB123456,Lexus,GS350,2038,2037-06-20,Initial sales from LexusDealership
345,A,VOME254OOXW344325,,,,2038-10-05,Side collision
346,R,VOME254OOXW344325,,,,2038-11-01,Repair side door
347,I,UXIA769ABCC447906,BMW,330i,2039,2038-04-18,Initial sales from UltimateCars
348,R,UXIA769ABCC447906,,,,2039-05-01,Replace windshield
349,A,INU45KIOOPA343980,,,,2039-09-15,Hit and run incident
350,R,INU45KIOOPA343980,,,,2039-10-01,Repair front grille
